student_id,program,year,semester,campus,courses
S1,BBA,1,4,Main,Microeconomics|Introduction to Business Finance|Principles of Microeconomics|Human Resource Management|Advanced Business Research
S2,BBA,1,8,Main,Introduction to Business Finance|Business Finance|Advanced Business Research|Arabic Language|Accounting for Shariah Compliance
S3,BBA,4,3,Main,Business Intelligence|Business Finance|Principles of Marketing|Principles of Microeconomics|Statistical Inference
S4,BBA,4,5,Main,Business Finance|Statistical Inference|Accounting for Shariah Compliance|Arabic Language|Business Communication
S5,BBA,3,4,City,Microeconomics|Introduction to Business Finance|Arabic Language|Introduction to Trade Marketing|Human Resource Management
S6,BBA,4,6,City,Principles of Marketing|Microeconomics|Human Resource Management|Accounting for Shariah Compliance|Arabic Language
S7,BBA,2,2,Main,Human Resource Management|Managerial Economics|Principles of Microeconomics|Business Communication|Introduction to Business Finance
S8,BBA,3,2,Main,Human Resource Management|Managerial Economics|Microeconomics|Arabic Language|Accounting for Shariah Compliance
S9,BBA,2,4,Main,Microeconomics|Introduction to Business Finance|Business Finance|Introduction to Business Ethics|Human Resource Management
S10,BBA,1,2,Main,Managerial Economics|Human Resource Management|Advanced Business Research|Business Finance|Accounting for Shariah Compliance
S11,BBA,1,2,City,Managerial Economics|Human Resource Management|Introduction to Business Ethics|Arabic Language|French Language
S12,BBA,2,2,City,Human Resource Management|Managerial Economics|Introduction to Trade Marketing|Business Communication|Business Intelligence
S13,BBA,2,8,Main,Introduction to Trade Marketing|Principles of Microeconomics|Managerial Economics|Business Finance|Human Resource Management
S14,BBA,2,8,City,History of Ideas|Introduction to Trade Marketing|Accounting for Shariah Compliance|Arabic Language|French Language
S15,BBA,2,7,Main,Business Intelligence|Business Communication|Accounting for Shariah Compliance|Microeconomics|Advanced Business Research
S16,BBA,4,2,City,Human Resource Management|Managerial Economics|Arabic Language|History of Ideas|Introduction to Business Ethics
S17,BBA,4,7,City,Principles of Microeconomics|Statistical Inference|Business Finance|Introduction to Business Ethics|Arabic Language
