student_id,program,year,semester,campus,courses
S1,BBA,4,3,City,Advanced Business Research|Principles of Microeconomics|Introduction to Business Ethics|Principles of Marketing|Statistical Inference
S2,BBA,4,6,Main,Introduction to Business Finance|Principles of Marketing|Managerial Economics|Microeconomics|Arabic Language
S3,BBA,4,3,Main,Introduction to Business Finance|French Language|Microeconomics|History of Ideas|Introduction to Trade Marketing
S4,BBA,1,8,City,Managerial Economics|Human Resource Management|Advanced Business Research|Business Finance|Microeconomics
S5,BBA,2,6,Main,Principles of Marketing|Introduction to Business Finance|Business Finance|Managerial Economics|Arabic Language
S6,BBA,1,2,City,Business Finance|Business Intelligence|Introduction to Business Ethics|Human Resource Management|Principles of Microeconomics
S7,BBA,1,6,City,Principles of Marketing|Introduction to Business Finance|Introduction to Trade Marketing|Accounting for Shariah Compliance|Introduction to Business Ethics
S8,BBA,4,3,City,Arabic Language|Introduction to Business Finance|Business Finance|Introduction to Business Ethics|Statistical Inference
S9,BBA,2,1,City,Principles of Microeconomics|Business Intelligence|French Language|Statistical Inference|Business Communication
S10,BBA,2,3,Main,Principles of Marketing|French Language|Introduction to Trade Marketing|Statistical Inference|Accounting for Shariah Compliance
S11,BBA,1,3,City,Microeconomics|Introduction to Trade Marketing|Business Intelligence|Business Finance|Advanced Business Research
S12,BBA,3,5,City,Microeconomics|Introduction to Business Finance|History of Ideas|Introduction to Business Ethics|Human Resource Management
S13,BBA,2,5,Main,Microeconomics|Business Finance|Arabic Language|Human Resource Management|Business Communication
S14,BBA,2,3,Main,Business Intelligence|Statistical Inference|Managerial Economics|Arabic Language|Principles of Marketing
S15,BBA,1,5,City,Microeconomics|French Language|Introduction to Business Finance|Principles of Microeconomics|Human Resource Management
S16,BBA,4,8,Main,Human Resource Management|Managerial Economics|French Language|Business Finance|Advanced Business Research
S17,BBA,2,8,Main,Managerial Economics|Human Resource Management|Principles of Marketing|Introduction to Trade Marketing|Business Finance
S18,BBA,4,8,City,Managerial Economics|Human Resource Management|Introduction to Business Ethics|Introduction to Business Finance|Microeconomics
S19,BBA,1,8,Main,Human Resource Management|Managerial Economics|Business Communication|French Language|Principles of Microeconomics
S20,BBA,3,4,Main,Principles of Microeconomics|Advanced Business Research|Introduction to Business Ethics|Accounting for Shariah Compliance|Managerial Economics
S21,BBA,2,1,Main,Managerial Economics|Principles of Marketing|Microeconomics|Advanced Business Research|Business Communication
S22,BBA,3,1,Main,Principles of Microeconomics|Human Resource Management|Statistical Inference|Business Communication|Accounting for Shariah Compliance
S23,BBA,1,3,City,Principles of Microeconomics|Introduction to Business Ethics|History of Ideas|Microeconomics|Business Finance
S24,BBA,1,6,Main,Principles of Marketing|Introduction to Business Finance|Managerial Economics|Advanced Business Research|Statistical Inference
S25,BBA,4,2,Main,Business Intelligence|Business Finance|French Language|Managerial Economics|History of Ideas
S26,BBA,3,3,Main,Advanced Business Research|Arabic Language|Business Intelligence|Principles of Microeconomics|Principles of Marketing
S27,BBA,3,8,Main,Human Resource Management|Managerial Economics|Introduction to Business Ethics|Business Intelligence|Microeconomics
S28,BBA,3,2,City,Business Intelligence|Business Finance|Microeconomics|History of Ideas|Advanced Business Research
S29,BBA,4,6,Main,Principles of Marketing|Introduction to Business Finance|Managerial Economics|Accounting for Shariah Compliance|Introduction to Trade Marketing
S30,BBA,1,7,City,Business Communication|Principles of Microeconomics|Accounting for Shariah Compliance|Human Resource Management|Microeconomics
S31,BBA,2,8,Main,Human Resource Management|Managerial Economics|Business Communication|Arabic Language|Microeconomics
S32,BBA,3,5,City,Microeconomics|Principles of Microeconomics|Statistical Inference|Introduction to Business Finance|Accounting for Shariah Compliance
S33,BBA,2,4,Main,Principles of Microeconomics|Microeconomics|Managerial Economics|History of Ideas|Statistical Inference
S34,BBA,1,2,City,Business Intelligence|Business Finance|Introduction to Business Finance|Business Communication|Managerial Economics
S35,BBA,4,5,City,Microeconomics|Business Intelligence|French Language|Human Resource Management|Principles of Marketing
S36,BBA,3,5,Main,Microeconomics|Accounting for Shariah Compliance|Advanced Business Research|Principles of Microeconomics|Business Communication
S37,BBA,4,8,City,Managerial Economics|Human Resource Management|Business Intelligence|Introduction to Business Ethics|Accounting for Shariah Compliance
S38,BBA,2,3,City,French Language|Managerial Economics|Business Intelligence|History of Ideas|Principles of Marketing
S39,BBA,1,4,Main,Principles of Microeconomics|French Language|Introduction to Business Finance|Arabic Language|Statistical Inference
S40,BBA,4,1,Main,Business Finance|Human Resource Management|Business Intelligence|Principles of Marketing|Introduction to Business Ethics
S41,BBA,4,4,City,Principles of Microeconomics|Business Intelligence|Business Finance|Introduction to Trade Marketing|Advanced Business Research
S42,BBA,3,1,City,Advanced Business Research|Business Finance|Business Communication|Arabic Language|Human Resource Management
S43,BBA,1,4,Main,Principles of Microeconomics|Introduction to Business Finance|Business Communication|Statistical Inference|Business Finance
S44,BBA,3,5,Main,Microeconomics|Introduction to Trade Marketing|Principles of Marketing|Accounting for Shariah Compliance|Introduction to Business Finance
S45,BBA,3,5,City,Microeconomics|Statistical Inference|Business Communication|Arabic Language|Advanced Business Research
S46,BBA,1,1,City,French Language|History of Ideas|Introduction to Trade Marketing|Microeconomics|Advanced Business Research
S47,BBA,4,6,Main,Introduction to Business Finance|Principles of Marketing|French Language|Human Resource Management|Introduction to Business Ethics
S48,BBA,2,3,City,Human Resource Management|Introduction to Business Ethics|Managerial Economics|Introduction to Trade Marketing|Business Intelligence
S49,BBA,4,6,City,Principles of Marketing|Introduction to Business Finance|Principles of Microeconomics|Business Intelligence|Arabic Language
S50,BBA,2,1,City,Arabic Language|French Language|Advanced Business Research|Introduction to Trade Marketing|Human Resource Management
S51,BBA,4,3,City,Accounting for Shariah Compliance|Arabic Language|Human Resource Management|Principles of Marketing|Introduction to Business Finance
