room,capacity,campus
Main_R1,33,Main
Main_R2,30,Main
Main_R3,38,Main
Main_R4,37,Main
Main_R5,37,Main
Main_R6,34,Main
Main_R7,33,Main
Main_R8,32,Main
Main_R9,43,Main
Main_R10,31,Main
Main_R11,30,Main
Main_R12,32,Main
Main_R13,36,Main
Main_R14,37,Main
City_R1,30,City
City_R2,36,City
City_R3,43,City
City_R4,37,City
City_R5,44,City
City_R6,38,City
City_R7,30,City
City_R8,35,City
City_R9,43,City
City_R10,40,City
City_R11,38,City
City_R12,34,City
City_R13,36,City
City_R14,40,City
