room,capacity,campus
Main_R1,32,Main
Main_R2,33,Main
Main_R3,30,Main
Main_R4,45,Main
Main_R5,43,Main
Main_R6,30,Main
Main_R7,40,Main
Main_R8,38,Main
Main_R9,37,Main
Main_R10,33,Main
Main_R11,45,Main
Main_R12,37,Main
Main_R13,40,Main
Main_R14,31,Main
Main_R15,40,Main
Main_R16,37,Main
City_R1,32,City
City_R2,44,City
City_R3,33,City
City_R4,44,City
City_R5,33,City
City_R6,32,City
City_R7,31,City
City_R8,31,City
City_R9,42,City
City_R10,40,City
City_R11,32,City
City_R12,34,City
City_R13,31,City
City_R14,44,City
City_R15,31,City
City_R16,39,City
