student_id,program,year,semester,campus,courses
S1,BBA,4,6,Main,Managerial Economics|French Language|Human Resource Management|Principles of Marketing|Business Finance
S2,BBA,4,1,City,Business Communication|History of Ideas|Human Resource Management|Managerial Economics|Introduction to Business Ethics
S3,BBA,2,8,City,Introduction to Business Finance|Business Communication|Principles of Microeconomics|Advanced Business Research|Introduction to Trade Marketing
S4,BBA,1,5,City,Business Intelligence|Managerial Economics|Business Communication|Principles of Microeconomics|History of Ideas
S5,BBA,2,1,Main,Business Intelligence|Human Resource Management|Introduction to Business Ethics|Business Finance|History of Ideas
S6,BBA,2,8,Main,Introduction to Business Finance|Introduction to Trade Marketing|Managerial Economics|Principles of Microeconomics|Business Finance
S7,BBA,2,4,Main,Principles of Microeconomics|Introduction to Business Finance|Business Intelligence|Introduction to Trade Marketing|Statistical Inference
S8,BBA,4,1,Main,Accounting for Shariah Compliance|Human Resource Management|History of Ideas|Principles of Marketing|Advanced Business Research
S9,BBA,2,7,Main,Principles of Microeconomics|Human Resource Management|Microeconomics|Advanced Business Research|Accounting for Shariah Compliance
S10,BBA,3,5,Main,Business Intelligence|Principles of Marketing|Accounting for Shariah Compliance|Introduction to Business Finance|Business Communication
S11,BBA,4,2,City,Principles of Marketing|Business Communication|Microeconomics|Introduction to Trade Marketing|Human Resource Management
S12,BBA,3,6,City,Managerial Economics|Business Communication|Statistical Inference|Business Intelligence|Business Finance
S13,BBA,4,1,Main,Business Finance|Statistical Inference|Business Communication|Principles of Marketing|History of Ideas
S14,BBA,2,7,Main,Principles of Microeconomics|Introduction to Trade Marketing|Introduction to Business Finance|Microeconomics|Human Resource Management
S15,BBA,1,2,Main,Principles of Marketing|Business Communication|Microeconomics|Arabic Language|Introduction to Business Ethics
S16,BBA,3,5,City,Business Intelligence|Advanced Business Research|Introduction to Business Finance|Statistical Inference|Accounting for Shariah Compliance
S17,BBA,4,5,City,Business Intelligence|Business Communication|Statistical Inference|Introduction to Trade Marketing|Business Finance
S18,BBA,1,8,Main,Introduction to Business Finance|Accounting for Shariah Compliance|Business Communication|Principles of Microeconomics|Introduction to Trade Marketing
S19,BBA,4,5,Main,Business Intelligence|Introduction to Business Finance|Statistical Inference|Arabic Language|Business Finance
S20,BBA,1,7,City,Principles of Microeconomics|Accounting for Shariah Compliance|Advanced Business Research|History of Ideas|French Language
S21,BBA,2,6,Main,Managerial Economics|Business Finance|Statistical Inference|Introduction to Trade Marketing|Business Intelligence
S22,BBA,3,8,City,Introduction to Business Finance|Principles of Marketing|History of Ideas|Business Communication|Advanced Business Research
S23,BBA,3,1,City,Introduction to Trade Marketing|Business Communication|Introduction to Business Finance|Introduction to Business Ethics|Managerial Economics
S24,BBA,3,5,City,Business Intelligence|Introduction to Business Ethics|Managerial Economics|Arabic Language|Statistical Inference
S25,BBA,2,2,Main,Business Communication|Principles of Marketing|Microeconomics|Introduction to Business Ethics|Introduction to Business Finance
S26,BBA,4,5,City,Business Intelligence|Statistical Inference|Accounting for Shariah Compliance|Principles of Marketing|Managerial Economics
S27,BBA,4,5,Main,Business Intelligence|Introduction to Trade Marketing|Business Communication|Statistical Inference|Business Finance
S28,BBA,4,4,Main,French Language|Statistical Inference|Principles of Microeconomics|Introduction to Business Finance|Principles of Marketing
S29,BBA,4,7,City,Principles of Microeconomics|Introduction to Business Ethics|Business Intelligence|Microeconomics|French Language
S30,BBA,2,1,Main,Introduction to Trade Marketing|Microeconomics|Accounting for Shariah Compliance|Business Communication|Principles of Marketing
S31,BBA,4,5,Main,Business Intelligence|Advanced Business Research|Business Finance|Managerial Economics|French Language
S32,BBA,2,1,Main,History of Ideas|Business Finance|Advanced Business Research|Microeconomics|Principles of Microeconomics
S33,BBA,1,4,Main,Advanced Business Research|French Language|Microeconomics|Introduction to Business Ethics|Managerial Economics
S34,BBA,4,1,Main,Business Intelligence|Principles of Marketing|Accounting for Shariah Compliance|Introduction to Business Finance|Introduction to Business Ethics
S35,BBA,2,6,City,Managerial Economics|Introduction to Business Ethics|Accounting for Shariah Compliance|Principles of Microeconomics|Arabic Language
S36,BBA,4,6,City,Managerial Economics|Accounting for Shariah Compliance|Introduction to Trade Marketing|Arabic Language|History of Ideas
S37,BBA,1,2,Main,Microeconomics|Business Communication|Principles of Marketing|Accounting for Shariah Compliance|Statistical Inference
